Year,Location,Altitude
1924,"Chamonix, France",1035
1928,"St. Moritz, Switzerland",1822
1932,"Lake Placid, United States",568
1936,"Garmisch-Partenkirchen, Germany",708
1948,"St. Moritz, Switzerland",1822
1952,"Oslo, Norway",204
1956,"Cortina d'Ampezzo, Italy",1210
1960,"Squaw Valley, United States",1880
1964,"Innsbruck, Austria",574
1968,"Grenoble, France",213
1972,"Sapporo, Japan",23
1976,"Innsbruck, Austria",574
1980,"Lake Placid, United States",568
1984,"Sarajevo, Yugoslavia",500
1988,"Calgary, Canada",1048
1992,"Albertville, France",352
1994,"Lillehammer, Norway",122
1998,"Nagano, Japan",374
2002,"Salt Lake City, United States",1320
2006,"Turin, Italy",239
2010,"Vancouver, Canada",21
2014,"Sochi, Canada",34
