,X,Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat,Altitude,minutes,seconds,totalseconds,MedalCode
3,3,1924,"Chamonix, France",500m Men,Roald Larsen,NOR,BRONZE,44.8,00:44.8,1035,0,44.8,44.8,1
4,4,1924,"Chamonix, France",500m Men,Clas Thunberg,FIN,BRONZE,44.8,00:44.8,1035,0,44.8,44.8,1
7,7,1924,"Chamonix, France",1500m Men,Sigurd Moen,NOR,BRONZE,02:25.0,02:25.0,1035,120,25,145,1
10,10,1924,"Chamonix, France",5000m Men,Roald Larsen,NOR,BRONZE,08:50.0,08:50.0,1035,480,50,530,1
13,13,1924,"Chamonix, France",10000m Men,Roald Larsen,NOR,BRONZE,18:12.0,18:12.0,1035,1080,12,1092,1
16,16,1924,"Chamonix, France",Four-Race Combined,Julius Skutnabb,FIN,BRONZE,11,00:11.0,1035,0,11,11,1
19,19,1928,"St. Moritz, Switzerland",500m Men,John Farrell,USA,BRONZE,,,1822,NA,NA,NA,1
20,20,1928,"St. Moritz, Switzerland",500m Men,Jaako Friman,FIN,BRONZE,,,1822,NA,NA,NA,1
21,21,1928,"St. Moritz, Switzerland",500m Men,Roald Larsen,NOR,BRONZE,,,1822,NA,NA,NA,1
24,24,1928,"St. Moritz, Switzerland",1500m Men,Ivar Ballangrud,NOR,BRONZE,02:22.0,02:22.0,1822,120,22,142,1
27,27,1928,"St. Moritz, Switzerland",5000m Men,BÃ_la Evensen,NOR,BRONZE,09:01.0,09:01.0,1822,540,1,541,1
30,30,1932,"Lake Placid, United States",500m Men,Alexander Hurd,CAN,BRONZE,,,568,NA,NA,NA,1
33,33,1932,"Lake Placid, United States",1500m Men,William Logan,CAN,BRONZE,,,568,NA,NA,NA,1
36,36,1932,"Lake Placid, United States",5000m Men,William Logan,CAN,BRONZE,,,568,NA,NA,NA,1
39,39,1932,"Lake Placid, United States",10000m Men,Frank Stack,CAN,BRONZE,,,568,NA,NA,NA,1
42,42,1936,"Garmisch-Partenkirchen, Germany",500m Men,Leo Freisinger,USA,BRONZE,44,00:44.0,708,0,44,44,1
45,45,1936,"Garmisch-Partenkirchen, Germany",1500m Men,Birger Wasenius,FIN,BRONZE,02:20.0,02:20.0,708,120,20,140,1
48,48,1936,"Garmisch-Partenkirchen, Germany",5000m Men,Antero Ojala,FIN,BRONZE,08:30.0,08:30.0,708,480,30,510,1
51,51,1936,"Garmisch-Partenkirchen, Germany",10000m Men,Max Stiepl,AUT,BRONZE,17:30.0,17:30.0,708,1020,30,1050,1
58,58,1948,"St. Moritz, Switzerland",1500m Men,Odd Lundberg,NOR,BRONZE,02:18.0,02:18.0,1822,120,18,138,1
61,61,1948,"St. Moritz, Switzerland",5000m Men,GÃ¶the Hedlund,SWE,BRONZE,08:34.0,08:34.0,1822,480,34,514,1
64,64,1948,"St. Moritz, Switzerland",10000m Men,Pentti Lammio,FIN,BRONZE,17:42.0,17:42.0,1822,1020,42,1062,1
67,67,1952,"Oslo, Norway",500m Men,Arne Johansen,NOR,BRONZE,44,00:44.0,204,0,44,44,1
68,68,1952,"Oslo, Norway",500m Men,Gordon Audley,CAN,BRONZE,44,00:44.0,204,0,44,44,1
71,71,1952,"Oslo, Norway",1500m Men,Roald Aas,NOR,BRONZE,02:21.0,02:21.0,204,120,21,141,1
74,74,1952,"Oslo, Norway",5000m Men,Sverre Haugli,NOR,BRONZE,08:22.0,08:22.0,204,480,22,502,1
77,77,1952,"Oslo, Norway",10000m Men,Carl-Erik Asplund,SWE,BRONZE,17:16.0,17:16.0,204,1020,16,1036,1
80,80,1956,"Cortina d'Ampezzo, Italy",500m Men,Alv Gjestvang,NOR,BRONZE,41,00:41.0,1210,0,41,41,1
83,83,1956,"Cortina d'Ampezzo, Italy",1500m Men,Toivo Salonen,FIN,BRONZE,02:09.0,02:09.0,1210,120,9,129,1
86,86,1956,"Cortina d'Ampezzo, Italy",5000m Men,Oleg Goncharenko,URS,BRONZE,07:57.0,07:57.0,1210,420,57,477,1
89,89,1956,"Cortina d'Ampezzo, Italy",10000m Men,Oleg Goncharenko,URS,BRONZE,16:42.0,16:42.0,1210,960,42,1002,1
92,92,1960,"Squaw Valley, United States",500m Men,Rafael Grach,URS,BRONZE,40.4,00:40.4,1880,0,40.4,40.4,1
95,95,1960,"Squaw Valley, United States",1500m Men,Boris Stenin,URS,BRONZE,02:11.0,02:11.0,1880,120,11,131,1
98,98,1960,"Squaw Valley, United States",5000m Men,Jan Pesman,NED,BRONZE,08:05.0,08:05.0,1880,480,5,485,1
101,101,1960,"Squaw Valley, United States",10000m Men,Kjell BÃ¥ckman,SWE,BRONZE,16:14.0,16:14.0,1880,960,14,974,1
104,104,1960,"Squaw Valley, United States",500m Women,Jeanne Ashworth,USA,BRONZE,46.1,00:46.1,1880,0,46.1,46.1,1
107,107,1960,"Squaw Valley, United States",1000m Women,Tamara Rylova,URS,BRONZE,01:34.0,01:34.0,1880,60,34,94,1
110,110,1960,"Squaw Valley, United States",1500m Women,Helena Pilejczykowa,POL,BRONZE,02:27.0,02:27.0,1880,120,27,147,1
113,113,1960,"Squaw Valley, United States",3000m Women,Eevi Huttunen,FIN,BRONZE,05:21.0,05:21.0,1880,300,21,321,1
120,120,1964,"Innsbruck, Austria",1500m Men,Villy Haugen,NOR,BRONZE,02:11.0,02:11.0,574,120,11,131,1
123,123,1964,"Innsbruck, Austria",5000m Men,Fred Anton Maier,NOR,BRONZE,07:42.0,07:42.0,574,420,42,462,1
