"","Year","Location","Event","Athelete","Country","Medal","Time","TimeFormat","Altitude","minutes","seconds","totalseconds"
"1",1924,"Chamonix, France","500m Men","Charles Jewtraw","USA","GOLD","44","00:44.00",1035,0,44,44
"2",1924,"Chamonix, France","500m Men","Oskar Olsen","NOR","SILVER","44.2","00:44.20",1035,0,44.2,44.2
"3",1924,"Chamonix, France","500m Men","Roald Larsen","NOR","BRONZE","44.8","00:44.80",1035,0,44.8,44.8
"4",1924,"Chamonix, France","500m Men","Clas Thunberg","FIN","BRONZE","44.8","00:44.80",1035,0,44.8,44.8
"5",1924,"Chamonix, France","1500m Men","Clas Thunberg","FIN","GOLD","02:20.0","02:20.00",1035,120,20,140
"6",1924,"Chamonix, France","1500m Men","Roald Larsen","NOR","SILVER","02:22.0","02:22.00",1035,120,22,142
"7",1924,"Chamonix, France","1500m Men","Sigurd Moen","NOR","BRONZE","02:25.0","02:25.00",1035,120,25,145
"8",1924,"Chamonix, France","5000m Men","Clas Thunberg","FIN","GOLD","08:39.0","08:39.00",1035,480,39,519
"9",1924,"Chamonix, France","5000m Men","Julius Skutnabb","FIN","SILVER","08:48.0","08:48.00",1035,480,48,528
"10",1924,"Chamonix, France","5000m Men","Roald Larsen","NOR","BRONZE","08:50.0","08:50.00",1035,480,50,530
"11",1924,"Chamonix, France","10000m Men","Julius Skutnabb","FIN","GOLD","18:04.0","18:04.00",1035,1080,4,1084
"12",1924,"Chamonix, France","10000m Men","Clas Thunberg","FIN","SILVER","18:07.0","18:07.00",1035,1080,7,1087
"13",1924,"Chamonix, France","10000m Men","Roald Larsen","NOR","BRONZE","18:12.0","18:12.00",1035,1080,12,1092
"14",1924,"Chamonix, France","Four-Race Combined","Clas Thunberg","FIN","GOLD","5.5","00:05.50",1035,0,5.5,5.5
"15",1924,"Chamonix, France","Four-Race Combined","Roald Larsen","NOR","SILVER","9.5","00:09.50",1035,0,9.5,9.5
"16",1924,"Chamonix, France","Four-Race Combined","Julius Skutnabb","FIN","BRONZE","11","00:11.00",1035,0,11,11
"17",1928,"St. Moritz, Switzerland","500m Men","Bæla Evensen","NOR","GOLD","43.4","00:43.40",1822,0,43.4,43.4
"18",1928,"St. Moritz, Switzerland","500m Men","Clas Thunberg","FIN","GOLD","43.4","00:43.40",1822,0,43.4,43.4
"19",1928,"St. Moritz, Switzerland","500m Men","John Farrell","USA","BRONZE","","",1822,NA,NA,NA
"20",1928,"St. Moritz, Switzerland","500m Men","Jaako Friman","FIN","BRONZE","","",1822,NA,NA,NA
"21",1928,"St. Moritz, Switzerland","500m Men","Roald Larsen","NOR","BRONZE","","",1822,NA,NA,NA
"22",1928,"St. Moritz, Switzerland","1500m Men","Clas Thunberg","FIN","GOLD","02:21.0","02:21.00",1822,120,21,141
"23",1928,"St. Moritz, Switzerland","1500m Men","Bæla Evensen","NOR","SILVER","02:21.0","02:21.00",1822,120,21,141
"24",1928,"St. Moritz, Switzerland","1500m Men","Ivar Ballangrud","NOR","BRONZE","02:22.0","02:22.00",1822,120,22,142
"25",1928,"St. Moritz, Switzerland","5000m Men","Ivar Ballangrud","NOR","GOLD","08:50.0","08:50.00",1822,480,50,530
"26",1928,"St. Moritz, Switzerland","5000m Men","Julius Skutnabb","FIN","SILVER","08:59.0","08:59.00",1822,480,59,539
"27",1928,"St. Moritz, Switzerland","5000m Men","Bæla Evensen","NOR","BRONZE","09:01.0","09:01.00",1822,540,1,541
"28",1932,"Lake Placid, United States","500m Men","Jack Shea","USA","GOLD","43.4","00:43.40",568,0,43.4,43.4
"29",1932,"Lake Placid, United States","500m Men","Bæla Evensen","NOR","SILVER","","",568,NA,NA,NA
"30",1932,"Lake Placid, United States","500m Men","Alexander Hurd","CAN","BRONZE","","",568,NA,NA,NA
"31",1932,"Lake Placid, United States","1500m Men","Jack Shea","USA","GOLD","02:57.0","02:57.00",568,120,57,177
"32",1932,"Lake Placid, United States","1500m Men","Alexander Hurd","CAN","SILVER","","",568,NA,NA,NA
"33",1932,"Lake Placid, United States","1500m Men","William Logan","CAN","BRONZE","","",568,NA,NA,NA
"34",1932,"Lake Placid, United States","5000m Men","Irving Jaffee","USA","GOLD","09:40.0","09:40.00",568,540,40,580
"35",1932,"Lake Placid, United States","5000m Men","Edward Murphy","USA","SILVER","","",568,NA,NA,NA
"36",1932,"Lake Placid, United States","5000m Men","William Logan","CAN","BRONZE","","",568,NA,NA,NA
"37",1932,"Lake Placid, United States","10000m Men","Irving Jaffee","USA","GOLD","19:13.0","19:13.00",568,1140,13,1153
"38",1932,"Lake Placid, United States","10000m Men","Ivar Ballangrud","NOR","SILVER","","",568,NA,NA,NA
"39",1932,"Lake Placid, United States","10000m Men","Frank Stack","CAN","BRONZE","","",568,NA,NA,NA
"40",1936,"Garmisch-Partenkirchen, Germany","500m Men","Ivar Ballangrud","NOR","GOLD","43.4","00:43.40",708,0,43.4,43.4
"41",1936,"Garmisch-Partenkirchen, Germany","500m Men","Georg Krog","NOR","SILVER","43.5","00:43.50",708,0,43.5,43.5
"42",1936,"Garmisch-Partenkirchen, Germany","500m Men","Leo Freisinger","USA","BRONZE","44","00:44.00",708,0,44,44
"43",1936,"Garmisch-Partenkirchen, Germany","1500m Men","Charles Mathiesen","NOR","GOLD","02:19.0","02:19.00",708,120,19,139
"44",1936,"Garmisch-Partenkirchen, Germany","1500m Men","Ivar Ballangrud","NOR","SILVER","02:20.0","02:20.00",708,120,20,140
"45",1936,"Garmisch-Partenkirchen, Germany","1500m Men","Birger Wasenius","FIN","BRONZE","02:20.0","02:20.00",708,120,20,140
"46",1936,"Garmisch-Partenkirchen, Germany","5000m Men","Ivar Ballangrud","NOR","GOLD","08:19.0","08:19.00",708,480,19,499
"47",1936,"Garmisch-Partenkirchen, Germany","5000m Men","Birger Wasenius","FIN","SILVER","08:23.0","08:23.00",708,480,23,503
"48",1936,"Garmisch-Partenkirchen, Germany","5000m Men","Antero Ojala","FIN","BRONZE","08:30.0","08:30.00",708,480,30,510
"49",1936,"Garmisch-Partenkirchen, Germany","10000m Men","Ivar Ballangrud","NOR","GOLD","17:24.0","17:24.00",708,1020,24,1044
"50",1936,"Garmisch-Partenkirchen, Germany","10000m Men","Birger Wasenius","FIN","SILVER","17:28.0","17:28.00",708,1020,28,1048
"51",1936,"Garmisch-Partenkirchen, Germany","10000m Men","Max Stiepl","AUT","BRONZE","17:30.0","17:30.00",708,1020,30,1050
"52",1948,"St. Moritz, Switzerland","500m Men","Finn Helgesen","NOR","GOLD","43.1","00:43.10",1822,0,43.1,43.1
"53",1948,"St. Moritz, Switzerland","500m Men","Ken Bartholomew","USA","SILVER","43.2","00:43.20",1822,0,43.2,43.2
"54",1948,"St. Moritz, Switzerland","500m Men","Thomas Byberg","NOR","SILVER","43.2","00:43.20",1822,0,43.2,43.2
"55",1948,"St. Moritz, Switzerland","500m Men","Robert Fitzgerald","USA","SILVER","43.2","00:43.20",1822,0,43.2,43.2
"56",1948,"St. Moritz, Switzerland","1500m Men","Sverre Farstad","NOR","GOLD","02:17.0","02:17.00",1822,120,17,137
"57",1948,"St. Moritz, Switzerland","1500m Men","Åke Seyffarth","SWE","SILVER","02:18.0","02:18.00",1822,120,18,138
"58",1948,"St. Moritz, Switzerland","1500m Men","Odd Lundberg","NOR","BRONZE","02:18.0","02:18.00",1822,120,18,138
"59",1948,"St. Moritz, Switzerland","5000m Men","Reidar Liaklev","NOR","GOLD","08:29.0","08:29.00",1822,480,29,509
"60",1948,"St. Moritz, Switzerland","5000m Men","Odd Lundberg","NOR","SILVER","08:32.0","08:32.00",1822,480,32,512
"61",1948,"St. Moritz, Switzerland","5000m Men","Göthe Hedlund","SWE","BRONZE","08:34.0","08:34.00",1822,480,34,514
"62",1948,"St. Moritz, Switzerland","10000m Men","Åke Seyffarth","SWE","GOLD","17:26.0","17:26.00",1822,1020,26,1046
"63",1948,"St. Moritz, Switzerland","10000m Men","Lassi Parkkinen","FIN","SILVER","17:36.0","17:36.00",1822,1020,36,1056
"64",1948,"St. Moritz, Switzerland","10000m Men","Pentti Lammio","FIN","BRONZE","17:42.0","17:42.00",1822,1020,42,1062
"65",1952,"Oslo, Norway","500m Men","Ken Henry","USA","GOLD","43.2","00:43.20",204,0,43.2,43.2
"66",1952,"Oslo, Norway","500m Men","Donald McDermott","USA","SILVER","43.9","00:43.90",204,0,43.9,43.9
"67",1952,"Oslo, Norway","500m Men","Arne Johansen","NOR","BRONZE","44","00:44.00",204,0,44,44
"68",1952,"Oslo, Norway","500m Men","Gordon Audley","CAN","BRONZE","44","00:44.00",204,0,44,44
"69",1952,"Oslo, Norway","1500m Men","Hjallis Andersen","NOR","GOLD","02:20.0","02:20.00",204,120,20,140
"70",1952,"Oslo, Norway","1500m Men","Wim van der Voort","NED","SILVER","02:20.0","02:20.00",204,120,20,140
"71",1952,"Oslo, Norway","1500m Men","Roald Aas","NOR","BRONZE","02:21.0","02:21.00",204,120,21,141
"72",1952,"Oslo, Norway","5000m Men","Hjallis Andersen","NOR","GOLD","08:10.0","08:10.00",204,480,10,490
