Year,Location,Event,Athelete,Country,Medal,Time,TimeFormat
1924,"Chamonix, France",500m Men,Charles Jewtraw,USA,GOLD,44,00:44.00
1924,"Chamonix, France",500m Men,Oskar Olsen,NOR,SILVER,44.2,00:44.20
1924,"Chamonix, France",500m Men,Roald Larsen,NOR,BRONZE,44.8,00:44.80
1924,"Chamonix, France",500m Men,Clas Thunberg,FIN,BRONZE,44.8,00:44.80
1924,"Chamonix, France",1500m Men,Clas Thunberg,FIN,GOLD,02:20.0,02:20.00
1924,"Chamonix, France",1500m Men,Roald Larsen,NOR,SILVER,02:22.0,02:22.00
1924,"Chamonix, France",1500m Men,Sigurd Moen,NOR,BRONZE,02:25.0,02:25.00
1924,"Chamonix, France",5000m Men,Clas Thunberg,FIN,GOLD,08:39.0,08:39.00
1924,"Chamonix, France",5000m Men,Julius Skutnabb,FIN,SILVER,08:48.0,08:48.00
1924,"Chamonix, France",5000m Men,Roald Larsen,NOR,BRONZE,08:50.0,08:50.00
1924,"Chamonix, France",10000m Men,Julius Skutnabb,FIN,GOLD,18:04.0,18:04.00
1924,"Chamonix, France",10000m Men,Clas Thunberg,FIN,SILVER,18:07.0,18:07.00
1924,"Chamonix, France",10000m Men,Roald Larsen,NOR,BRONZE,18:12.0,18:12.00
1924,"Chamonix, France",Four-Race Combined,Clas Thunberg,FIN,GOLD,5.5,00:05.50
1924,"Chamonix, France",Four-Race Combined,Roald Larsen,NOR,SILVER,9.5,00:09.50
1924,"Chamonix, France",Four-Race Combined,Julius Skutnabb,FIN,BRONZE,11,00:11.00
1928,"St. Moritz, Switzerland",500m Men,Bæla Evensen,NOR,GOLD,43.4,00:43.40
1928,"St. Moritz, Switzerland",500m Men,Clas Thunberg,FIN,GOLD,43.4,00:43.40
1928,"St. Moritz, Switzerland",500m Men,John Farrell,USA,BRONZE,,
1928,"St. Moritz, Switzerland",500m Men,Jaako Friman,FIN,BRONZE,,
1928,"St. Moritz, Switzerland",500m Men,Roald Larsen,NOR,BRONZE,,
1928,"St. Moritz, Switzerland",1500m Men,Clas Thunberg,FIN,GOLD,02:21.0,02:21.00
1928,"St. Moritz, Switzerland",1500m Men,Bæla Evensen,NOR,SILVER,02:21.0,02:21.00
1928,"St. Moritz, Switzerland",1500m Men,Ivar Ballangrud,NOR,BRONZE,02:22.0,02:22.00
1928,"St. Moritz, Switzerland",5000m Men,Ivar Ballangrud,NOR,GOLD,08:50.0,08:50.00
1928,"St. Moritz, Switzerland",5000m Men,Julius Skutnabb,FIN,SILVER,08:59.0,08:59.00
1928,"St. Moritz, Switzerland",5000m Men,Bæla Evensen,NOR,BRONZE,09:01.0,09:01.00
1932,"Lake Placid, United States",500m Men,Jack Shea,USA,GOLD,43.4,00:43.40
1932,"Lake Placid, United States",500m Men,Bæla Evensen,NOR,SILVER,,
1932,"Lake Placid, United States",500m Men,Alexander Hurd,CAN,BRONZE,,
1932,"Lake Placid, United States",1500m Men,Jack Shea,USA,GOLD,02:57.0,02:57.00
1932,"Lake Placid, United States",1500m Men,Alexander Hurd,CAN,SILVER,,
1932,"Lake Placid, United States",1500m Men,William Logan,CAN,BRONZE,,
1932,"Lake Placid, United States",5000m Men,Irving Jaffee,USA,GOLD,09:40.0,09:40.00
1932,"Lake Placid, United States",5000m Men,Edward Murphy,USA,SILVER,,
